tau_sec,tau_min,n,n_hours,pm_ll,pm_brier,pm_ig,pm_cal_slope,model_ll,model_brier,model_ig,model_cal_slope,coin_ll,gauss_ll,gauss_brier,gauss_ig
3000,50,73,73,0.5882768989801951,0.2029236369863014,0.15129583517173492,1.4206983544807643,0.6122789412715401,0.2121342772710413,0.11666820778680408,1.0176943987562221,0.6931471805599453,0.6764362543645787,0.21458369044220107,0.02410877035071691
1800,30,73,73,0.49641032267936847,0.16513117123287668,0.283831289224385,1.3719578926294749,0.5263770015875289,0.17768436371391746,0.24059851017166994,1.247032141831388,0.6931471805599453,0.4952894673513909,0.1660723166416844,0.28544834164761207
900,15,73,73,0.30061668929923874,0.09038113698630137,0.56630179313953,1.5183709170211122,0.3584437763373128,0.10765465647752594,0.4828749414406461,1.3303328349752854,0.6931471805599453,0.34718658816387743,0.10612989126788247,0.49911563099281514
300,5,73,73,0.18205500730624402,0.053769167808219186,0.7373501437902777,1.1790022192832004,0.24704111214127678,0.07501804139708398,0.6435950126180857,1.008158059692104,0.6931471805599453,0.3550675167117266,0.07618035606810583,0.48774585445923296
120,2,73,73,0.19137162610253108,0.054168976027397266,0.7239091040550214,1.0648932211649418,0.2543787287900481,0.06809539636779086,0.6330090694669591,0.8403926522374562,0.6931471805599453,0.3992369273356891,0.06842273616869285,0.42402286479305396
